Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,49,28.2,5.22,85,3279,2889,444,736,150,18,126,434,62,19,300,663,.255,.329,.450,.779,115,1300,57,39,15,35,9,578
Athletics,48,26.4,4.14,88,3323,2992,364,742,137,10,107,352,48,12,284,733,.248,.316,.408,.724,102,1220,81,21,6,17,5,601
Atlanta Braves,48,28.5,4.04,84,3187,2841,339,691,116,9,84,326,42,13,295,721,.243,.318,.379,.697,95,1077,52,24,7,20,10,622
Baltimore Orioles,48,27.3,4.20,85,3154,2848,357,687,130,10,101,336,59,18,240,749,.241,.307,.400,.707,102,1140,61,39,3,24,7,545
Boston Red Sox,44,27.3,4.79,86,3321,2965,412,741,163,13,106,393,71,18,290,795,.250,.323,.421,.744,107,1248,48,40,7,19,16,613
Chicago Cubs,43,28.5,5.39,85,3291,2943,458,755,150,17,125,449,100,18,293,662,.257,.326,.446,.772,121,1314,36,22,7,26,9,587
Chicago White Sox,53,27.4,3.39,85,3104,2772,288,611,127,7,65,273,57,17,276,736,.220,.293,.342,.635,79,947,50,18,12,22,4,574
Cincinnati Reds,46,27.5,4.62,85,3192,2852,393,706,140,11,92,375,65,23,285,744,.248,.320,.401,.721,94,1144,54,27,6,22,7,559
Cleveland Guardians,40,27.8,3.67,83,3022,2697,305,608,115,8,81,290,65,19,259,687,.225,.297,.364,.661,85,982,51,28,11,27,12,523
Colorado Rockies,46,27.6,3.53,85,3132,2850,300,650,137,25,81,294,45,21,227,842,.228,.290,.379,.669,79,1080,62,29,8,18,5,537
Detroit Tigers,45,26.8,4.99,85,3219,2874,424,734,137,19,106,406,30,7,270,736,.255,.325,.427,.751,112,1227,47,38,5,29,7,571
Houston Astros,44,28.7,4.19,85,3153,2838,356,723,117,7,92,339,47,19,245,658,.255,.320,.398,.718,102,1130,70,39,9,22,7,582
Kansas City Royals,39,28.2,3.31,86,3157,2880,285,702,147,15,58,281,65,29,206,587,.244,.299,.366,.664,87,1053,44,29,18,23,13,586
Los Angeles Angels,49,28.2,4.32,84,3112,2805,363,641,115,9,124,349,37,18,234,818,.229,.297,.409,.705,96,1146,50,45,7,18,11,514
Los Angeles Dodgers,49,31.0,5.62,86,3325,2941,483,771,147,15,134,465,45,14,320,704,.262,.338,.459,.797,123,1350,61,30,3,29,18,582
Miami Marlins,46,26.0,4.28,83,3163,2852,355,725,142,14,73,342,67,26,254,675,.254,.317,.391,.708,95,1114,48,19,16,22,7,590
Milwaukee Brewers,43,26.9,4.73,84,3182,2811,397,695,121,8,79,368,99,29,291,674,.247,.322,.380,.703,98,1069,43,33,18,26,10,577
Minnesota Twins,40,28.7,4.19,85,3167,2847,356,680,133,8,96,343,41,14,249,703,.239,.310,.392,.702,94,1117,54,51,2,17,5,572
New York Mets,50,28.9,4.33,85,3217,2840,368,695,135,13,109,359,64,10,294,669,.245,.323,.417,.740,112,1183,70,50,3,28,14,610
New York Yankees,39,28.4,5.07,85,3295,2880,431,726,146,13,128,412,59,20,342,757,.252,.336,.445,.781,118,1282,57,35,4,29,26,634
Philadelphia Phillies,38,30.2,4.59,85,3238,2882,390,733,134,11,89,372,73,15,296,671,.254,.329,.401,.730,100,1156,53,33,8,19,9,608
Pittsburgh Pirates,46,29.4,3.51,87,3223,2878,305,674,116,14,61,295,74,22,282,752,.234,.307,.348,.655,82,1001,76,30,8,21,12,605
San Diego Padres,42,30.2,4.11,84,3128,2795,345,689,126,11,73,321,57,16,265,589,.247,.314,.378,.692,92,1056,54,23,19,25,9,570
Seattle Mariners,47,28.7,4.58,85,3309,2931,389,727,116,4,111,376,79,22,296,746,.248,.325,.404,.729,113,1184,57,47,14,21,14,630
San Francisco Giants,39,28.7,4.10,86,3191,2809,353,645,128,14,80,334,45,17,305,725,.230,.310,.371,.681,96,1041,59,34,18,24,6,567
St. Louis Cardinals,38,27.1,4.63,87,3305,2952,403,748,148,4,87,383,47,15,273,674,.253,.324,.395,.718,100,1165,61,45,9,25,12,601
Tampa Bay Rays,40,27.5,4.77,86,3229,2904,410,750,131,9,97,389,112,27,264,715,.258,.324,.410,.733,108,1190,60,28,8,23,7,554
Texas Rangers,43,29.2,3.77,86,3169,2853,324,650,121,8,86,310,77,19,250,705,.228,.296,.366,.662,92,1045,45,35,5,25,10,569
Toronto Blue Jays,45,28.0,4.49,85,3240,2873,382,737,141,4,86,366,44,15,283,571,.257,.328,.398,.726,102,1144,62,34,17,26,15,613
Washington Nationals,38,26.1,4.36,84,3136,2818,366,688,141,11,85,350,74,30,243,634,.244,.311,.392,.703,100,1106,51,38,16,20,10,528
League Average,42,28.1,4.36,85,3205,2864,372,702,134,11,94,356,62,19,274,703,.245,.316,.398,.714,100,1140,56,33,10,23,10,580
,1269,28.1,4.36,2554,96163,85912,11145,21060,4007,339,2822,10682,1850,562,8211,21095,.245,.316,.398,.714,100,34211,1674,1003,289,702,306,17402