Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,30,30.3,5.11,43,42,.506,4.71,85,85,85,0,6,0,26,757.1,731,434,396,112,279,13,735,36,8,15,3256,89,4.31,1.334,8.7,1.3,3.3,8.7,2.63,562
Athletics,29,28.9,5.72,36,52,.409,5.32,88,88,88,0,6,0,20,780.0,822,503,461,128,333,17,694,49,6,20,3487,79,4.91,1.481,9.5,1.5,3.8,8.0,2.08,655
Atlanta Braves,29,29.4,3.94,38,46,.452,3.75,84,84,83,1,5,0,12,741.1,646,331,309,90,271,10,763,34,5,21,3095,111,3.84,1.237,7.8,1.1,3.3,9.3,2.82,551
Baltimore Orioles,29,31.1,5.15,37,48,.435,4.99,85,85,85,0,3,0,19,746.1,790,438,414,117,278,4,697,27,3,37,3261,78,4.48,1.431,9.5,1.4,3.4,8.4,2.51,591
Boston Red Sox,27,29.6,4.59,42,44,.488,4.01,86,86,86,0,6,0,22,770.2,727,395,343,85,299,12,727,37,3,20,3300,105,3.94,1.331,8.5,1.0,3.5,8.5,2.43,612
Chicago Cubs,26,30.9,4.13,50,35,.588,3.84,85,85,85,0,8,0,20,758.2,709,351,324,100,233,7,637,29,0,16,3161,99,4.16,1.242,8.4,1.2,2.8,7.6,2.73,547
Chicago White Sox,29,27.6,4.39,28,57,.329,4.13,85,85,85,0,5,0,10,737.1,716,373,338,89,312,13,620,50,3,21,3216,102,4.45,1.394,8.7,1.1,3.8,7.6,1.99,638
Cincinnati Reds,25,29.4,4.24,44,41,.518,3.91,85,85,83,2,4,1,21,752.2,662,360,327,104,267,8,680,37,2,23,3173,116,4.29,1.234,7.9,1.2,3.2,8.1,2.55,566
Cleveland Guardians,24,27.4,4.28,40,43,.482,4.05,83,83,82,1,9,0,23,731.1,707,355,329,87,302,10,691,29,4,24,3150,103,4.10,1.380,8.7,1.1,3.7,8.5,2.29,607
Colorado Rockies,24,28.0,6.14,19,66,.224,5.50,85,85,85,0,0,0,14,744.0,860,522,455,113,293,9,563,23,4,42,3330,84,4.82,1.550,10.4,1.4,3.5,6.8,1.92,587
Detroit Tigers,25,28.1,3.82,53,32,.624,3.44,85,85,84,1,9,1,24,756.1,654,325,289,89,242,7,720,36,1,22,3132,115,3.81,1.185,7.8,1.1,2.9,8.6,2.98,546
Houston Astros,26,29.1,3.64,51,34,.600,3.49,85,85,82,3,9,0,27,752.2,617,309,292,91,251,3,833,32,1,21,3106,117,3.57,1.153,7.4,1.1,3.0,10.0,3.32,547
Kansas City Royals,20,30.0,3.71,40,46,.465,3.49,86,86,86,0,7,0,26,765.0,683,319,297,87,250,9,696,23,2,34,3178,119,3.81,1.220,8.0,1.0,2.9,8.2,2.78,575
Los Angeles Angels,28,30.1,4.86,42,42,.500,4.52,84,84,84,0,5,0,21,745.1,754,408,374,105,327,31,662,25,5,30,3251,93,4.56,1.450,9.1,1.3,3.9,8.0,2.02,618
Los Angeles Dodgers,34,29.5,4.51,54,32,.628,4.18,86,86,86,0,3,0,28,768.0,704,388,357,106,300,17,756,38,2,37,3267,96,4.23,1.307,8.3,1.2,3.5,8.9,2.52,587
Miami Marlins,26,27.5,5.14,38,45,.458,4.83,83,83,83,0,5,0,19,740.0,731,427,397,97,283,10,649,37,4,26,3211,90,4.33,1.370,8.9,1.2,3.4,7.9,2.29,577
Milwaukee Brewers,27,28.4,4.06,47,37,.560,3.77,84,84,84,0,8,0,22,747.1,672,341,313,89,291,13,718,29,5,20,3169,107,4.00,1.289,8.1,1.1,3.5,8.6,2.47,595
Minnesota Twins,22,28.7,4.38,40,45,.471,4.19,85,85,84,1,6,0,16,744.0,709,372,346,90,224,7,729,41,7,20,3163,101,3.77,1.254,8.6,1.1,2.7,8.8,3.25,568
New York Mets,33,30.5,3.87,48,37,.565,3.46,85,85,84,1,7,1,23,754.0,668,329,290,64,314,5,738,32,3,34,3209,110,3.61,1.302,8.0,0.8,3.7,8.8,2.35,630
New York Yankees,24,31.3,3.84,48,37,.565,3.57,85,85,85,0,9,0,23,753.2,612,326,299,83,281,5,774,28,3,25,3134,114,3.69,1.185,7.3,1.0,3.4,9.2,2.75,558
Philadelphia Phillies,22,30.0,4.00,50,35,.588,3.72,85,85,85,0,8,0,26,758.0,714,340,313,89,244,6,785,25,1,24,3193,115,3.60,1.264,8.5,1.1,2.9,9.3,3.22,591
Pittsburgh Pirates,23,28.3,3.90,37,50,.425,3.69,87,87,86,1,9,0,18,771.1,665,339,316,73,260,11,644,31,1,24,3195,116,3.78,1.199,7.8,0.9,3.0,7.5,2.48,558
San Diego Padres,22,29.2,3.95,45,39,.536,3.65,84,84,82,2,13,2,28,742.0,634,332,301,83,277,8,731,33,3,24,3118,113,3.82,1.228,7.7,1.0,3.4,8.9,2.64,569
Seattle Mariners,29,27.6,4.41,44,41,.518,3.93,85,85,85,0,3,0,20,772.1,721,375,337,105,264,18,692,37,2,26,3269,95,4.23,1.275,8.4,1.2,3.1,8.1,2.62,603
San Francisco Giants,20,29.4,3.83,45,41,.523,3.42,86,86,86,0,4,0,24,758.2,676,329,288,71,269,9,732,27,4,27,3180,113,3.54,1.246,8.0,0.8,3.2,8.7,2.72,586
St. Louis Cardinals,21,30.0,4.21,47,40,.540,3.92,87,87,85,2,10,2,21,773.2,733,366,337,73,238,10,631,24,2,29,3249,106,3.70,1.255,8.5,0.8,2.8,7.3,2.65,575
Tampa Bay Rays,22,27.6,3.98,47,39,.547,3.73,86,86,85,1,8,0,19,770.1,680,342,319,112,235,6,706,36,1,14,3170,107,4.20,1.188,7.9,1.3,2.7,8.2,3.00,526
Texas Rangers,21,31.9,3.53,42,44,.488,3.27,86,86,84,2,8,1,23,763.0,642,304,277,75,237,14,679,24,3,29,3123,116,3.61,1.152,7.6,0.9,2.8,8.0,2.87,542
Toronto Blue Jays,27,30.9,4.45,47,38,.553,4.20,85,85,85,0,6,0,25,756.2,677,378,353,113,275,12,754,42,5,17,3187,100,4.29,1.258,8.1,1.3,3.3,9.0,2.74,551
Washington Nationals,19,28.0,5.17,35,49,.417,5.01,84,84,84,0,6,0,19,740.0,744,434,412,102,282,2,659,52,3,37,3230,80,4.45,1.386,9.0,1.2,3.4,8.0,2.34,584
League Average,24,29.3,4.36,43,43,.500,4.05,85,85,85,1,6,0,21,755,702,372,340,94,274,10,703,33,3,25,3205,101,4.06,1.292,8.4,1.1,3.3,8.4,2.57,580
,731,29.3,4.36,1277,1277,.500,4.05,2554,2554,2536,18,195,8,639,22652.0,21060,11145,10203,2822,8211,306,21095,1003,96,759,96163,101,4.06,1.292,8.4,1.1,3.3,8.4,2.57,17402